"","year","mlowedu60","mmidedu60","mhighedu60","flowedu60","fmidedu60","fhighedu60","mlowedu65","mmidedu65","mhighedu65","flowedu65","fmidedu65","fhighedu65"
"1",1998,0.5164271370723,0.634297964055229,0.77343794230285,0.274358997711196,0.44663285075987,0.786965038739415,0.132003987357337,0.24045584828107,0.339894297843198,0.0861322299286511,0.161602342863518,0.197178632820489
"2",1999,0.547801410539833,0.614666223166514,0.794509755484043,0.357849878435804,0.509137023683981,0.828974727655944,0.128374486027042,0.207756192497999,0.362461069202915,0.0607255059914092,0.224979882104259,0.24050693722599
"3",2000,0.604629164653155,0.589824461652577,0.767218664612269,0.430414564893124,0.542432634363805,0.72596482431134,0.146957303588969,0.171232270165777,0.298833000523014,0.0844201697046956,0.273260966460509,0.220578507469643
"4",2001,0.563593167012861,0.642326328993977,0.749876113388439,0.38215133981814,0.503950094973925,0.662973744553504,0.129264322659189,0.223587788270495,0.260075135774063,0.109844554368609,0.194209536880001,0.253135706548372
"5",2002,0.545328508835193,0.579349303571964,0.734910196710871,0.339202902106374,0.523258467820096,0.73935786677932,0.152860887735856,0.216542046636741,0.347272515377947,0.115587828268287,0.183533732212772,0.304625405866214
"6",2003,0.507283909057972,0.512557645981564,0.816588620778818,0.343095212142033,0.516572624254919,0.713637635618625,0.171118585238234,0.250064308623614,0.400621825893743,0.150219821201658,0.207466686112266,0.270592647867431
"7",2004,0.517790826196685,0.609865504555154,0.785495053179013,0.34378009677735,0.528638792481851,0.651163007015753,0.130847038454607,0.265913107672705,0.464727189077799,0.111047458436399,0.209923632273095,0.280330130616081
"8",2005,0.438389540199802,0.58205670591831,0.752949128828879,0.354309507823705,0.496441578421163,0.675545066325394,0.179776557742015,0.249377730831855,0.381899520060948,0.0878919410661686,0.219672078124112,0.270689185267911
"9",2006,0.541690434584067,0.618142828887081,0.849589026892647,0.386203266431573,0.593129258069039,0.715895541483375,0.186260856375855,0.254941528398912,0.360948488753036,0.142795896039943,0.165833865405399,0.342880252590103
"10",2007,0.460489236007352,0.555349806857172,0.791094662604718,0.321116956769211,0.531897805274451,0.631026252239148,0.212501455937129,0.275032688753414,0.390420234204151,0.120039646053615,0.185071609830395,0.363905109033462
"11",2008,0.565302211994364,0.661612297218531,0.845653780297559,0.381270367442198,0.564352893183663,0.660086268114664,0.201411896415838,0.367386799281223,0.402291238486084,0.147884433647683,0.270373552669447,0.28411773432401
"12",2009,0.533838723653369,0.59914218043412,0.81309081712691,0.425459697405303,0.601947517019088,0.722288210740681,0.161386399395034,0.321328993243482,0.49558731085455,0.143730946019889,0.241436005044132,0.280772661175163
"13",2010,0.504003936876813,0.639836574629535,0.862224867249605,0.404193063345428,0.59586769379274,0.709178760129374,0.19353385940131,0.349864178648444,0.496580439851489,0.162951466489006,0.230734949823691,0.31894957149952
"14",2011,0.506069790398018,0.630044766654019,0.803290963701701,0.440051656946966,0.584905923074782,0.749958014824944,0.227769325394964,0.30634083490863,0.410890087904559,0.231622210886942,0.241782403161938,0.331966956194682
"15",2012,0.513230593095616,0.709481366082341,0.810341349431876,0.481323856102998,0.624802255443043,0.759543157946852,0.223446452598085,0.279199855688446,0.486156999915461,0.151248271803851,0.253996490549137,0.312958759301296
"16",2013,0.543963700597623,0.68358734979982,0.829552488276617,0.443271363182027,0.601143903531782,0.704789714073467,0.237258572762775,0.368677292418726,0.478985407835964,0.126142308779587,0.23063746894297,0.339219151685144
"17",2014,0.556079122588822,0.680980037308151,0.847131425415895,0.486335150994746,0.645673148611822,0.824680285503922,0.261918940734889,0.341659187740487,0.541408117279959,0.152277445689579,0.275039777455522,0.258250147571854
"18",2015,0.551296954783286,0.772810375855352,0.863181084444333,0.485209551503817,0.647408081637137,0.718591976667083,0.282882448192595,0.352700297307405,0.464809950729704,0.181623611686381,0.282959202044651,0.36540729999107
"19",2016,0.570278322222975,0.754010239230133,0.861924900258474,0.500242730499543,0.710384516300311,0.827877332253461,0.263429693924085,0.382935910756878,0.47831665524657,0.14876252175387,0.217984995159064,0.268919801927615
"20",2017,0.611581109114675,0.712784963087398,0.825766684433941,0.481062870836434,0.590663083205194,0.732995405748379,0.251602846205042,0.339819399325209,0.507231885421062,0.165285657681411,0.21462945758637,0.295484874523748
"21",2018,0.566091454799138,0.685663215926469,0.788480026322707,0.449102238118441,0.616428400132296,0.712171091379606,0.293060774781995,0.378420909006181,0.466289976927005,0.134801182927205,0.263231664424444,0.40296595602647
"22",2019,0.676493312225679,0.73806533114147,0.853873180592772,0.44472026809433,0.614748536702517,0.783108592001834,0.287174119813828,0.406536727793363,0.513109505989464,0.131737268913,0.255084051336923,0.349081890563979
