"","year","mlowedu60","mmidedu60","mhighedu60","flowedu60","fmidedu60","fhighedu60","mlowedu65","mmidedu65","mhighedu65","flowedu65","fmidedu65","fhighedu65"
"1",1998,0.454240294874377,0.528744659762198,0.609091492433561,0.373675609839383,0.466521177855435,0.618710438718197,0.210258385474299,0.143840797758637,0.334816309496794,0.0340602718229405,0.017842424589467,0.0983709816216022
"2",1999,0.426732161830905,0.537218002062469,0.650116586643863,0.371647047825911,0.489450390741722,0.543575438191863,0.170382493539335,0.174742434192616,0.223456694522067,0.0395783721632936,0.048900204469415,0.0676859340285884
"3",2000,0.442134934767379,0.511969885993813,0.561483206530093,0.410158101206325,0.420152201481316,0.63991637080464,0.176909604905145,0.0988332800007291,0.222031197573874,0.0618706336539101,0.110007500148034,0.296812136838464
"4",2001,0.536487975583046,0.547571935201069,0.667662448788377,0.403360787016933,0.538548610686815,0.647838500954194,0.147883074038997,0.156077846472131,0.278619947556446,0.0818854492741834,0.0762871480909944,0.17001138386749
"5",2002,0.519947811410046,0.575104164089875,0.657732586115756,0.434390974886594,0.554547314768918,0.661978572686113,0.156721926112089,0.221328668612315,0.29396340860382,0.0651590518328251,0.067548983061133,0.192069302460792
"6",2003,0.533089776450164,0.577080311403589,0.698145809007038,0.460179876609385,0.554946014743172,0.711222324413033,0.118997367398245,0.16333490234593,0.312294567567418,0.0692767259181613,0.073537362737152,0.21925414801981
"7",2004,0.594564825259192,0.583188076216205,0.748389232730827,0.500583834927296,0.57695301897201,0.708594375579009,0.124119740276098,0.172091602860068,0.239845163430005,0.0714835794195616,0.0741933391611744,0.159614207877803
"8",2005,0.611657492178216,0.657076971417727,0.765970915933552,0.479557180923514,0.610179932011871,0.784328120532241,0.193029420551432,0.193451351331643,0.369169539117692,0.0938501990018571,0.128650198206492,0.193694795931674
"9",2006,0.63334107355842,0.655256394749821,0.763465763005742,0.558400419241238,0.600023152842184,0.780878642764254,0.166416753109398,0.246934572936365,0.360517939112557,0.0927567646856729,0.158686464618857,0.24063994046976
"10",2007,0.663053744670389,0.686410546917675,0.756124854624672,0.555396135452759,0.618312359847225,0.780244316373487,0.207734142311565,0.24278535546312,0.394091348256198,0.128682035435916,0.124484086931751,0.265699786627046
"11",2008,0.662860561217411,0.698493600871668,0.770542693429438,0.564339043806937,0.626103505968741,0.775228000549728,0.237233867307603,0.316729134358966,0.387719142306096,0.119705566726426,0.167148715270713,0.270951211286515
"12",2009,0.658548370437964,0.673696411219383,0.80818369944242,0.582979532646315,0.632671962276563,0.780051307395914,0.211687780770094,0.303459092166371,0.433801481591413,0.14526786283415,0.182687675305427,0.299154153817382
"13",2010,0.62358582936377,0.635453030467505,0.719648929439611,0.565625736788175,0.593568747283045,0.719012858226669,0.197254490954237,0.257632325031777,0.463169091336289,0.161130239132907,0.189350231364488,0.276712192776294
"14",2011,0.619728761514792,0.652488026322921,0.714998167937952,0.564832078470413,0.581857187444372,0.701127172724888,0.185351966561176,0.243269358491195,0.404935624578691,0.126269521560608,0.16615532063046,0.290403140507949
"15",2012,0.613820905194917,0.64978071111367,0.725242166478023,0.566210497331053,0.590519480374947,0.747875181894007,0.187847409589331,0.253730480926536,0.386152401831424,0.127347988107235,0.193494871223139,0.26779197098962
"16",2013,0.635679269610354,0.668431683845283,0.731095292121343,0.561228538951524,0.618058886626823,0.744397835352131,0.178719746042223,0.204414188544122,0.378967672639124,0.135480383208802,0.167129669721153,0.283650334973068
"17",2014,0.599281373156429,0.641545174639605,0.742842169146381,0.57030717656657,0.621041641134247,0.726449459096461,0.225755910111573,0.256351167705836,0.389708063722153,0.147847027391627,0.176984905114396,0.305784110373861
"18",2015,0.611636643262082,0.664849546072863,0.750163873541456,0.569608314989764,0.65500066264868,0.742303398326111,0.21800533999592,0.250976078100899,0.362693509829987,0.14731627505678,0.198035228977999,0.306057304999785
"19",2016,0.616664068151174,0.694588457352464,0.762328440843051,0.562933422542306,0.653130311676068,0.751969972547139,0.207780832907759,0.213533069489631,0.371615594998279,0.15899710354261,0.204061280806814,0.324698902663271
"20",2017,0.639217163028045,0.693750300049649,0.761280727597353,0.559355288423731,0.671684787102266,0.739587475503668,0.223056716204383,0.313905009227968,0.391449182668814,0.166912675025342,0.225932829840657,0.297608451353922
"21",2018,0.632303733256734,0.692659968359325,0.758368981124453,0.54021231053609,0.683144295196335,0.764682633704681,0.241249948262704,0.324797938249846,0.411601378362156,0.204930387628846,0.197438296941428,0.291672606137135
"22",2019,0.64921794060197,0.675571354746719,0.758217366712927,0.499934456189788,0.62460913771232,0.737310340483816,0.242101603190085,0.27673009631091,0.399225624698672,0.223775403934957,0.20634936107199,0.275554762521443
