"","year","mlowedu60","mmidedu60","mhighedu60","flowedu60","fmidedu60","fhighedu60","mlowedu65","mmidedu65","mhighedu65","flowedu65","fmidedu65","fhighedu65"
"1",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1999,0.223421535231273,0.220147792516026,0.407361683430707,0.101078084534887,0.111938244511483,0.203885021112808,0.0552601560894983,0.0464677766679007,0.124428693487732,0.0259277492540568,0.0370631286390335,0.0572224417585944
"3",2000,0.199054160882927,0.223333019490062,0.418292311657332,0.101750684271895,0.116867987294215,0.212800392790859,0.0542535410966051,0.0563660038110905,0.12583909325468,0.0291424722890235,0.0281779297413058,0.0448718071126642
"4",2001,0.228551760341518,0.221251974363149,0.437993664938464,0.115140320169014,0.127730107196385,0.232678896317001,0.0468970407632888,0.049380240933175,0.121702875909244,0.03589481924569,0.0355783536359345,0.0544217503952699
"5",2002,0.226436739801464,0.25690375139881,0.444275530502559,0.115917914394029,0.147563499327591,0.258332108322683,0.0588868296260703,0.0595440191903964,0.109566818927231,0.0397567009649022,0.0410436113785219,0.0454271208824852
"6",2003,0.21934875311959,0.253107218031142,0.457356750986375,0.125305280891111,0.152382143351624,0.261970279003915,0.0479560346554774,0.0491357933435733,0.112268215657891,0.039276428355945,0.036608533246618,0.0660455987187109
"7",2004,0.224991945219282,0.265137812254257,0.468046637114504,0.129062167482797,0.165727081642079,0.294537990386876,0.0650362878573724,0.0552635543697654,0.115277272802588,0.0366639865767943,0.0390258441535036,0.0643459298246152
"8",2005,0.262004111678386,0.3081022484834,0.50485927192489,0.162780637822852,0.196941072286411,0.351670527659857,0.0602961236811467,0.0685164578804486,0.132035415884059,0.0425821202689383,0.0472394815838408,0.0759182595939717
"9",2006,0.293690605077188,0.332162367268361,0.57506358372743,0.174441102582923,0.251242200131159,0.356295127403013,0.0607334079101822,0.0802798137580015,0.117667825296667,0.0549554474590422,0.0534589248816519,0.123576415502424
"10",2007,0.251809536078722,0.361655690854097,0.534090699700326,0.220409218149847,0.265374791821286,0.424389749345304,0.0601256251393809,0.064133251848228,0.150147208810446,0.0486888758381308,0.0442143770953627,0.131999060292021
"11",2008,0.383659807451248,0.404864949854052,0.581254454587465,0.256858196331749,0.256129293063173,0.348987824943936,0.0535734247689706,0.0880673845105557,0.159309057984656,0.0526023694486321,0.0472287855597406,0.094885856428115
"12",2009,0.372997863458011,0.430702969826802,0.630306493730424,0.238370180725324,0.31718952014337,0.480962073921519,0.0697528579176844,0.0805572985890459,0.198553983972188,0.0659568452900118,0.0550436087656389,0.0977334673531401
"13",2010,0.386098509958045,0.413169219173079,0.609545496445758,0.236872638652171,0.340366928306964,0.48510616010293,0.0416427815900505,0.0723035970358694,0.159626815854298,0.0465045652073654,0.0598401306349297,0.0860652096632985
"14",2011,0.38586466025566,0.479509387758885,0.638574738084591,0.223215536220731,0.327232793228412,0.558443766011299,0.0399134938701828,0.1050502178147,0.193529405030257,0.0537349102367192,0.0557983269500076,0.109705462968521
"15",2012,0.378257413996077,0.506714585751413,0.671133397070566,0.285096181850073,0.377228198172024,0.543023363339145,0.091852656657079,0.122528519472421,0.208840036400005,0.0680467898800463,0.0783308735519409,0.108966415210789
"16",2013,0.433308436332403,0.533775176772727,0.686550520372865,0.321938699240665,0.413914577433238,0.581474095648162,0.0915324499855439,0.131226286895619,0.241451814694363,0.0744761086560146,0.0889368028741663,0.122471071288649
"17",2014,0.445569152682078,0.555328575278083,0.707843514570433,0.341840122720896,0.45567357242537,0.613562334630958,0.11115893912721,0.141504016202515,0.249175421979125,0.086983302675128,0.101346245732596,0.141612296211192
"18",2015,0.439035748751622,0.548344589601405,0.718076663778945,0.342644922953273,0.476035599715224,0.63551276642465,0.118807781911416,0.156594491891213,0.261110263340529,0.0963830785602802,0.1092889296147,0.156325401590702
"19",2016,0.481503095662644,0.57315224702174,0.729886658451237,0.371037420079727,0.500289016158586,0.630876080045726,0.130438674099986,0.163159876709664,0.260319357973617,0.0863932194104644,0.11602855838423,0.168824378846353
"20",2017,0.50186136609853,0.601601036399666,0.747413584673217,0.40647061593637,0.530224022906005,0.665775557899485,0.151236017402488,0.168375650278596,0.277881257540416,0.0952644780281776,0.119244216916513,0.18073197073018
"21",2018,0.53461124546801,0.621736608874322,0.764185357395309,0.414756039201398,0.553974271810408,0.672304867552454,0.152761814099529,0.174562383863514,0.285740274175501,0.101641807567717,0.127950980365115,0.174245393075209
"22",2019,0.513703689949884,0.642437754441709,0.777673865717333,0.411629427718941,0.57405340754586,0.697965430817991,0.161156769062323,0.182762023879914,0.290917431898123,0.10968982436396,0.13370356714818,0.184182379518076
