"","year","mlowedu60","mmidedu60","mhighedu60","flowedu60","fmidedu60","fhighedu60","mlowedu65","mmidedu65","mhighedu65","flowedu65","fmidedu65","fhighedu65"
"1",1998,0.126432904193804,0.177377896340069,0.367774993152058,0.0349392777764038,0.0715157973890764,0.14200718922627,0.0222931942744425,0.0420986134367071,0.0834122448404381,0.0158418530019696,0.0318772247312124,0.055075040720845
"2",1999,0.163067246639611,0.285745891250931,0.407372497261765,0.0766226395622384,0.131849184390433,0.0806738066364394,0.0302735039114951,0.0472122548034019,0.202563214774801,0.0214542668661615,0.0140436281997019,0.0529445504141817
"3",2000,0.111085114477486,0.260202680023612,0.488915167229465,0.0589798859752214,0.0700683744533834,0.105746710018883,0.0257425648879954,0.0251388187729741,0.0889456090290766,0.0216964812594884,0.0172391563756805,NA
"4",2001,0.150598063576539,0.236520353261787,0.385538106919697,0.0566655326181196,0.106781636939503,0.075593747851894,0.0481101514893327,0.0456455930965099,0.0589972480086784,0.0301024581053814,0.0350761313769451,0.0859424305319779
"5",2002,0.13204902930661,0.213845215113475,0.266251373664598,0.0649914693831179,0.093925135658381,0.110632975234725,0.0134827901531756,0.044515473527997,0.087355790409877,0.0307636603830098,0.0111670340064702,0.0130164467816968
"6",2003,0.137763193146127,0.28334207882634,0.37343517697135,0.0740384876825782,0.0591290265137693,0.115066808632678,0.0266124287684203,0.0505079457724828,0.0909323482691873,0.0202776042752627,0.0137569016993084,NA
"7",2004,0.193509395190538,0.245893454818209,0.402336528417059,0.0643050777660871,0.102924936475846,0.11937929347561,0.0301762825008708,0.0798572994334566,0.131314821757825,0.0186941054178055,0.00485892443736155,0.0196083022438707
"8",2005,0.151051078425179,0.294010834593798,0.410861098744247,0.090244926036022,0.134979514799039,0.15249560607791,0.0356635035268097,0.0666365271271008,0.110874588201464,0.0109327685702592,0.0137093376232363,0.0307929615945324
"9",2006,0.169365890081651,0.237901974141124,0.374622976492717,0.0995845064933819,0.118384214644384,0.165456857309681,0.0495992134139304,0.113906357863291,0.0747027197539288,0.0263402305997493,0.0650320031656916,0.0468433925904296
"10",2007,0.177064347634609,0.251275851846769,0.449784045741908,0.09359771750836,0.151833134172385,0.203703902351607,0.0373356462531619,0.0607758269517,0.0988059952344261,0.020521724362202,0.0370375081533709,0.050480326903163
"11",2008,0.160007752809363,0.255197282895712,0.450313263122894,0.100117523286643,0.178531785189349,0.19153837868125,0.0472496220994824,0.0478872318237695,0.135226248165784,0.0203490059089974,0.0270348029218413,0.0621273394979356
"12",2009,0.173400799413771,0.274154382847243,0.43810992433819,0.120903954938206,0.174933500438444,0.219632238101889,0.0431935618552683,0.0767674780860866,0.108054802993146,0.0203713708212772,0.0268588464219615,0.0186327354482148
"13",2010,0.186653491209408,0.287016017899076,0.424511715210611,0.135935409713774,0.170973781920078,0.247186666658104,0.0743814211979813,0.0755437996782458,0.106311456307261,0.0267084700658939,0.0602125141558886,0.0576667155464143
"14",2011,0.196793991606332,0.266943887312941,0.455571950749525,0.116681849768664,0.200033509645822,0.252348489894672,0.0566382088088077,0.0746722904290295,0.102538894076785,0.0217124648182858,0.0401256779971633,0.0445778260160134
"15",2012,0.167675545277515,0.290637151136546,0.437109237541466,0.125825554560286,0.199149548277044,0.235988965199988,0.04807626216094,0.0367707519723805,0.130388598132865,0.0198850741320945,0.044191156523063,0.0585034782944118
"16",2013,0.174536717842147,0.276153821907159,0.495369170771091,0.130792908206991,0.201371549927805,0.30751736683221,0.039204516410065,0.0603842028597779,0.131747390763176,0.0218235314609818,0.0407062943297782,0.0427341434604353
"17",2014,0.178990236874164,0.28543156479298,0.505440964070932,0.136788977910111,0.215141824747238,0.320092198597525,0.0537568581946358,0.0594312153347734,0.130664639032434,0.0212565499643106,0.0367968382837959,0.0485945010806515
"18",2015,0.181299555034519,0.295522321903411,0.509137235503869,0.155060288881139,0.229467197905664,0.326752753355902,0.0542088957865436,0.0744382835106107,0.165108033895977,0.0195664809986915,0.0337137542952751,0.0507585466853491
"19",2016,0.180963799714087,0.308732988025172,0.548936424854144,0.177275096276216,0.189846676203666,0.373952804170712,0.0440378111514468,0.0492130597648062,0.151526607601568,0.0194404116119285,0.0416839707478289,0.0595469568096917
"20",2017,0.191930929295592,0.34723100978983,0.543522357429002,0.166145796755091,0.246104271270255,0.365263025989222,0.0700869119648736,0.100498071951905,0.17008905668468,0.0238224089613745,0.0377069458940021,0.07717929853543
"21",2018,0.157585763677292,0.310575472704341,0.545920498455546,0.153317568717654,0.299371011815865,0.405258732666187,0.0322445911695913,0.109790724005227,0.118296192239896,0.00827382477139209,0.036991459624266,0.0909823673619216
"22",2019,0.230316485957254,0.425800101781309,0.601454495514124,0.179806276875229,0.259466250306771,0.422346751441421,0.06941776287932,0.0722920317394474,0.139015698630394,0.0437417354324033,0.0515216621707673,0.0896903636531227
