"","year","mlowedu60","mmidedu60","mhighedu60","flowedu60","fmidedu60","fhighedu60","mlowedu65","mmidedu65","mhighedu65","flowedu65","fmidedu65","fhighedu65"
"1",1998,0.486004978264688,0.291654921796646,0.419246747287943,0.251051026576069,0.0821484997681154,0.137649769219989,0.190388957676707,0.103617746883323,0.206217522451594,0.0893598627767014,0.025070493171899,0.056806961065921
"2",1999,0.456095713023336,0.310906970772149,0.457380560561569,0.237015849369323,0.112865400002465,0.157028299848293,0.198045217317354,0.109705104539852,0.205640135455439,0.0803694690515081,0.0390069422001921,0.0198357644522998
"3",2000,0.483704860882281,0.328686178357892,0.494593613212832,0.251410244183433,0.129725978327149,0.2164798225251,0.189471836986989,0.110710880831286,0.224071028642836,0.0786461235767412,0.0496592561273475,0.116332808421634
"4",2001,0.470711160991437,0.31083364792167,0.433302817830023,0.233437071573252,0.087615764829818,0.151386772706026,0.163072409534987,0.125128830410852,0.184237043935457,0.0712964865828815,0.0619713395454708,0.0679681565037118
"5",2002,0.461373136832805,0.300116752907366,0.473709708934951,0.246995568508421,0.110452976526379,0.176137155131778,0.164131373428062,0.11546909789905,0.211353753715023,0.0567076362455453,0.042889498356171,0.0540035427555291
"6",2003,0.478147649714783,0.280955512326792,0.45480681960729,0.251229577850844,0.0870510573271824,0.209737451624189,0.179657310281849,0.101292209639987,0.229332867660303,0.0603763177113222,0.0339858708143154,0.0756292227816688
"7",2004,0.452901844508274,0.362976527379075,0.492174885034947,0.251346085057271,0.118596072750796,0.197186482537612,0.146880147814357,0.141068592824523,0.19975733944734,0.0543656561807209,0.0418800985093548,0.0819480148600658
"8",2005,0.466364340886502,0.352378493550805,0.511279075951914,0.264297391540913,0.147365506259267,0.295961527483838,0.157387702114045,0.15039313922885,0.185852556440246,0.0585404991906467,0.0357434370917601,0.0425645979990495
"9",2006,0.47336504603165,0.362492124226112,0.522429816374456,0.262683358271269,0.168628914389875,0.332012608326474,0.167383462797459,0.123154067844216,0.232799897807888,0.0663466202693724,0.0404955459386524,0.0250567056481126
"10",2007,0.463110405995544,0.382197761352209,0.52929327737969,0.252332901179934,0.149657187709582,0.280187402623955,0.164471716299926,0.156918981939766,0.264675968245863,0.0698424259424788,0.0324509863993816,0.0876529969599667
"11",2008,0.47425435796764,0.36010175493175,0.534088611987524,0.244137432981955,0.125930205819106,0.271597752921484,0.160894492055626,0.145447153933183,0.268307539471101,0.0702862237860716,0.0421369162039636,0.121515443607221
"12",2009,0.47299819878805,0.339831748483535,0.515637979468808,0.264073221457619,0.118745897288341,0.247397793162139,0.175652499699854,0.110497202450177,0.209156214252758,0.0812952159395705,0.0411598991125824,0.0642327847072076
"13",2010,0.445659764740654,0.350113356951665,0.446985382895194,0.270610491483453,0.171957191224485,0.22666764495578,0.162073762903746,0.121619323032113,0.171853957906294,0.070463854649138,0.0489423583045309,0.0882210884984355
"14",2011,0.407258715663379,0.286007759777843,0.401207873190204,0.254626703525559,0.164261464598109,0.221656342847976,0.147585906347693,0.08653037281984,0.161276138550268,0.0623760529208242,0.0422630636147462,0.0963187367410992
"15",2012,0.371964166541743,0.257967368869751,0.38384703785839,0.244073082356247,0.139069812932808,0.193682355050466,0.114848343416694,0.0952400852552316,0.161694996005195,0.0436330500422248,0.033720972579776,0.0705201451145714
"16",2013,0.355679619881408,0.245706956093526,0.391286686037707,0.256458684385106,0.141536982482056,0.212138202960679,0.101975161215646,0.096621025036459,0.122807332410155,0.0505398475499885,0.0382272381691935,0.0757503474585677
"17",2014,0.354177481428682,0.247254669417856,0.373280717035371,0.255603213214595,0.124611775645577,0.214336719811338,0.095770201818073,0.0883794284113988,0.128310727884934,0.0617068171492143,0.0413005008172091,0.0540666940050556
"18",2015,0.349584034062863,0.252685476402587,0.332429651210476,0.27234141646193,0.123739787758967,0.184247149205588,0.116306200130048,0.0759158289364083,0.128924597711876,0.0952623371281412,0.0607494286483932,0.0575220007502883
"19",2016,0.393816623229675,0.300789918917688,0.353745943388442,0.303494393553526,0.158197162291312,0.203893708266694,0.145252767246648,0.11252548421404,0.119245115089272,0.117534861934458,0.0694038323599487,0.056599972806158
"20",2017,0.41900559698032,0.328793318307168,0.399605709739647,0.293419886797801,0.180384470750566,0.230659756106692,0.15887413252916,0.137862709175734,0.136591167764401,0.120896528599569,0.0815805942543229,0.0688012809570513
"21",2018,0.466780922760236,0.384924030219608,0.464785224008108,0.318452321662353,0.21756261811992,0.269959912811187,0.184503727203749,0.127493029263295,0.162077503687158,0.115880107306209,0.0763036380401943,0.0867419729080024
"22",2019,0.499469345873422,0.396514897711106,0.493025127278141,0.320710064266955,0.228430886689109,0.341283576319764,0.210418766402931,0.111463598529361,0.231812879919504,0.121052910389318,0.0568654347468742,0.0907058701159112
